# ./veth_bql_sweep.sh --pktgen --duration 20 --qdisc fq_codel --no-bpftrace
tx_usecs,nrules,avg_pps,avg_rtt_ms,avg_p99_ms,interval_p5_us,interval_p25_us,interval_p50_us,interval_p75_us,interval_p95_us,limit_p5,limit_p25,limit_p50,limit_p75,limit_p95,count_p5,count_p25,count_p50,count_p75,count_p95
0,0,1959851,0.047,0.104,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,100,644814,0.075,0.102,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,1000,95997,0.221,0.370,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,2500,40012,0.443,0.695,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,5000,20705,0.782,1.430,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,7500,14000,1.203,2.090,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,10000,10644,1.616,2.927,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,15000,7250,2.285,3.733,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,20000,5442,3.021,5.423,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,0,2061467,0.175,0.231,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,100,673358,0.253,0.344,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,1000,96689,0.467,0.619,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,2500,40429,0.672,0.947,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,5000,20689,1.258,1.820,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,7500,14060,1.855,2.673,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,10000,10656,2.514,3.533,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,15000,7332,3.623,5.303,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,20000,5508,4.943,6.943,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,0,2038089,0.179,0.221,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,100,659473,0.399,0.488,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,1000,97040,1.106,1.420,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,2500,40633,1.358,1.730,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,5000,20803,2.004,2.677,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,7500,14007,1.943,2.783,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,10000,10680,2.519,3.557,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,15000,7321,3.779,5.370,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,20000,5501,5.007,7.053,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1000,0,2086396,0.173,0.205,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
