# ./veth_bql_sweep.sh --pktgen --duration 20 --qdisc fq_codel --gro-normal-batch 8
tx_usecs,nrules,avg_pps,avg_rtt_ms,avg_p99_ms,interval_p5_us,interval_p25_us,interval_p50_us,interval_p75_us,interval_p95_us,limit_p5,limit_p25,limit_p50,limit_p75,limit_p95,count_p5,count_p25,count_p50,count_p75,count_p95
0,0,1207579,0.054,0.156,0.300,0.333,0.400,0.400,1.000,2,2,2,2,2,1,1,1,1,1
0,100,516700,0.095,0.252,0.300,0.300,0.400,0.400,1.000,2,2,2,2,2,1,1,1,1,1
0,1000,87650,0.238,0.449,0.300,0.300,0.400,0.500,1.000,2,2,2,2,2,1,1,1,1,1
0,2500,37432,0.436,0.710,0.300,0.300,0.400,0.600,100.000,2,2,2,2,2,1,1,1,1,1
0,5000,19510,0.822,1.357,0.300,0.300,0.400,0.700,200.000,2,2,2,2,2,1,1,1,1,1
0,7500,13307,1.151,1.950,0.300,0.300,0.400,0.700,300.000,2,2,2,2,2,1,1,1,1,1
0,10000,10402,1.486,2.600,0.300,0.300,0.400,0.700,433.333,2,2,2,2,2,1,1,1,1,1
0,15000,7172,2.104,3.583,0.300,0.300,0.400,0.767,600.000,2,2,2,2,2,1,1,1,1,1
0,20000,5514,2.805,4.837,0.300,0.300,0.500,167.333,800.000,2,2,2,2,2,1,1,1,1,1
100,0,1279375,0.065,0.286,100.000,100.000,100.000,100.000,100.000,448,474,474,474,474,119,127,130,132,135
100,100,660772,0.244,0.458,100.000,100.000,100.000,100.000,100.000,145,145,145,145,145,64,72,72,72,73
100,1000,94429,0.475,0.602,100.000,100.000,100.000,100.000,100.000,33,33,33,33,33,15,16,16,16,17
100,2500,39358,0.698,0.960,100.000,166.667,200.000,200.000,200.000,17,17,17,17,17,7,8,8,8,9
100,5000,20307,1.351,1.940,300.000,300.000,366.667,400.000,400.000,17,17,17,17,17,7,8,8,8,9
100,7500,13776,1.940,3.057,500.000,500.000,500.000,600.000,600.000,17,17,17,17,17,7,8,8,8,9
100,10000,10524,2.691,3.737,700.000,700.000,700.000,766.667,800.000,17,17,17,17,17,7,8,8,8,9
100,15000,7237,3.964,5.400,900.000,1100.000,1100.000,1100.000,1200.000,17,17,17,17,17,7,8,8,8,9
100,20000,5508,5.067,7.497,400.000,1500.000,1533.333,1533.333,1633.333,17,17,17,17,17,1,8,8,8,9
500,0,1275528,0.062,0.140,500.000,500.000,500.000,500.000,500.000,1000,1000,1000,1000,1000,590,625,637,647,666
500,100,622683,0.441,0.581,500.000,500.000,500.000,500.000,500.000,595,616,640,651,663,276,304,320,328,336
500,1000,94291,1.147,1.610,500.000,500.000,500.000,500.000,500.000,107,113,113,113,113,46,48,48,49,56
500,2500,39394,1.400,1.780,533.333,600.000,600.000,600.000,600.000,49,49,49,49,49,23,24,24,24,25
500,5000,20281,2.108,2.730,700.000,700.000,766.667,800.000,800.000,33,33,33,33,33,15,16,16,16,17
500,7500,13798,1.981,2.780,500.000,500.000,500.000,600.000,600.000,17,17,17,17,17,7,8,8,8,9
500,10000,10512,2.487,3.537,700.000,700.000,700.000,800.000,800.000,17,17,17,17,17,7,8,8,8,9
500,15000,7185,3.684,5.367,1100.000,1100.000,1100.000,1200.000,1300.000,17,17,17,17,17,7,8,8,8,9
500,20000,5527,5.055,7.273,1500.000,1500.000,1533.333,1600.000,1933.333,17,17,17,17,17,7,8,8,8,10
1000,0,1266902,0.078,0.283,1000.000,1000.000,1000.000,1000.000,1000.000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
1000,100,643540,0.420,0.503,1000.000,1000.000,1000.000,1000.000,1000.000,1000,1000,1000,1000,1000,602,640,656,664,680
1000,1000,94518,1.856,2.343,1000.000,1000.000,1000.000,1000.000,1000.000,201,204,207,208,209,94,96,96,96,97
1000,2500,39551,2.194,2.837,1000.000,1000.000,1000.000,1000.000,1000.000,83,86,89,93,97,39,40,40,40,41
