# ./veth_bql_sweep.sh --ping --duration 20 --qdisc fq_codel --gro-normal-batch 1
tx_usecs,nrules,avg_pps,avg_rtt_ms,avg_p99_ms,interval_p5_us,interval_p25_us,interval_p50_us,interval_p75_us,interval_p95_us,limit_p5,limit_p25,limit_p50,limit_p75,limit_p95,count_p5,count_p25,count_p50,count_p75,count_p95
0,0,0,0.305,0.385,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,100,0,0.294,0.384,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,1000,0,0.353,0.448,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,2500,0,0.430,0.560,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,5000,0,0.571,0.762,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,7500,0,0.599,0.921,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,10000,0,0.832,1.077,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,15000,0,1.098,1.403,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,20000,0,1.406,1.730,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
20000,0,0,0.291,0.399,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
20000,100,0,0.249,0.358,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
20000,1000,0,0.249,0.390,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
20000,2500,0,0.407,0.551,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
20000,5000,0,0.525,0.798,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
20000,7500,0,0.618,0.881,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
20000,10000,0,0.861,1.077,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
20000,15000,0,1.095,1.380,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
20000,20000,0,1.467,1.737,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0

