# ./veth_bql_sweep.sh --pktgen --duration 20 --qdisc fq_codel --no-bpftrace
tx_usecs,nrules,avg_pps,avg_rtt_ms,avg_p99_ms,interval_p5_us,interval_p25_us,interval_p50_us,interval_p75_us,interval_p95_us,limit_p5,limit_p25,limit_p50,limit_p75,limit_p95,count_p5,count_p25,count_p50,count_p75,count_p95
0,0,1615896,0.015,0.025,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,1,1497966,0.016,0.028,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,10,1332789,0.017,0.028,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,100,705531,0.028,0.044,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,1000,122893,0.135,0.220,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,10000,13350,1.083,1.972,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1,0,1772926,0.019,0.043,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1,1,1627313,0.020,0.032,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1,10,1442493,0.022,0.034,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1,100,741340,0.037,0.053,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1,1000,127956,0.187,0.281,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1,10000,12918,1.778,2.622,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
2,0,1770821,0.019,0.029,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
2,1,1625972,0.020,0.031,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
2,10,1442566,0.022,0.034,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
2,100,739139,0.036,0.051,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
2,1000,123967,0.191,0.282,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
2,10000,13495,1.758,2.565,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
3,0,1772309,0.019,0.028,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
3,1,1630275,0.020,0.034,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
3,10,1444474,0.021,0.033,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
3,100,741311,0.036,0.053,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
3,1000,126712,0.186,0.274,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
3,10000,13473,1.728,2.514,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
4,0,1778285,0.019,0.032,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
4,1,1624383,0.020,0.031,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
4,10,1437511,0.022,0.034,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
4,100,739831,0.036,0.053,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
4,1000,127444,0.184,0.270,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
4,10000,13126,1.753,2.511,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
5,0,1790494,0.027,0.039,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
5,1,1646413,0.029,0.040,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
5,10,1442916,0.022,0.035,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
5,100,745403,0.036,0.052,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
5,1000,126742,0.188,0.272,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
5,10000,13412,1.773,2.578,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
6,0,1816113,0.027,0.037,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
6,1,1660689,0.028,0.038,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
6,10,1451960,0.032,0.044,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
6,100,740383,0.036,0.053,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
6,1000,126648,0.189,0.277,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
6,10000,13429,1.771,2.569,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
7,0,1813083,0.026,0.037,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
7,1,1657427,0.028,0.039,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
7,10,1465389,0.032,0.042,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
7,100,744278,0.036,0.054,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
7,1000,126684,0.186,0.274,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
7,10000,13058,1.793,2.552,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
8,0,1809947,0.026,0.036,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
8,1,1663507,0.028,0.039,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
8,10,1469527,0.031,0.041,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
8,100,743773,0.036,0.052,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
8,1000,124760,0.187,0.274,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
8,10000,13439,1.832,2.563,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
9,0,1816242,0.035,0.044,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
9,1,1660138,0.029,0.040,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
9,10,1467511,0.030,0.041,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
9,100,744770,0.036,0.052,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
9,1000,127868,0.184,0.271,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
9,10000,13535,1.768,2.541,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
10,0,1782075,0.035,0.044,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
10,1,1646893,0.037,0.048,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
10,10,1463701,0.031,0.042,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
10,100,746866,0.040,0.057,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
10,1000,127029,0.189,0.276,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
10,10000,13102,1.742,2.447,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
20,0,1813480,0.045,0.059,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
20,1,1663707,0.051,0.065,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
20,10,1482024,0.046,0.060,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
20,100,747725,0.056,0.075,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
20,1000,125859,0.184,0.271,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
20,10000,13495,1.781,2.562,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
30,0,1857795,0.065,0.081,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
30,1,1678794,0.063,0.081,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
30,10,1495577,0.061,0.079,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
30,100,749793,0.073,0.094,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
