# ./veth_bql_sweep.sh --pktgen --duration 20 --qdisc fq_codel --no-bpftrace
tx_usecs,nrules,avg_pps,avg_rtt_ms,avg_p99_ms,interval_p5_us,interval_p25_us,interval_p50_us,interval_p75_us,interval_p95_us,limit_p5,limit_p25,limit_p50,limit_p75,limit_p95,count_p5,count_p25,count_p50,count_p75,count_p95
0,0,1624742,0.016,0.026,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,1,1512837,0.018,0.028,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,10,1327998,0.019,0.032,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,100,681414,0.029,0.047,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,1000,116579,0.139,0.232,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,10000,13288,1.116,1.942,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
50,0,1891424,0.089,0.122,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
50,1,1724789,0.097,0.123,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
50,10,1515201,0.093,0.119,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
50,100,751526,0.104,0.134,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
50,1000,123017,0.201,0.303,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
50,10000,13207,1.738,2.519,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,0,1750182,0.136,0.161,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,1,1629692,0.144,0.169,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,10,1470944,0.156,0.187,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,100,756905,0.180,0.232,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,1000,124364,0.309,0.409,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,10000,13566,1.715,2.592,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,0,1730396,0.137,0.164,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,1,1603067,0.146,0.173,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,10,1409945,0.164,0.194,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,100,726399,0.315,0.368,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,1000,124816,0.971,1.268,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,10000,13687,1.834,2.689,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1000,0,1729173,0.138,0.164,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1000,1,1599262,0.146,0.173,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1000,10,1413418,0.164,0.193,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1000,100,721348,0.312,0.369,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1000,1000,124107,1.660,2.126,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1000,10000,13046,2.901,3.868,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
5000,0,1733900,0.134,0.159,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
5000,1,1596744,0.150,0.175,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
5000,10,1414979,0.164,0.193,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
5000,100,723779,0.314,0.367,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
5000,1000,125036,1.807,2.104,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
5000,10000,13694,9.143,11.990,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
10000,0,1725449,0.135,0.161,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
10000,1,1597998,0.147,0.173,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
10000,10,1409682,0.167,0.197,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
10000,100,730825,0.311,0.359,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
10000,1000,123928,1.823,2.128,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
10000,10000,13590,15.869,19.960,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
