# ./veth_bql_sweep.sh --pktgen --duration 15 --no-bpftrace
tx_usecs,nrules,avg_pps,avg_rtt_ms
0,0,1923364,0.070
0,100,630829,0.105
0,1000,93060,0.370
0,3500,27914,1.080
0,10000,9852,2.808
50,0,2260861,0.146
50,100,659319,0.184
50,1000,94173,0.428
50,3500,27941,1.384
50,10000,9887,3.720
100,0,2118778,0.172
100,100,661579,0.265
100,1000,94894,0.604
100,3500,27965,1.357
100,10000,9870,3.876
200,0,2097289,0.170
200,100,661457,0.395
200,1000,94771,0.729
200,3500,28046,1.466
200,10000,9852,3.658
250,0,2099908,0.167
250,100,658107,0.420
250,1000,94630,0.884
250,3500,27988,1.377
250,10000,9889,3.705
500,0,2115778,0.167
500,100,659564,0.415
500,1000,95053,1.259
500,3500,28324,1.810
500,10000,10020,3.694
1000,0,2149667,0.150
1000,100,663696,0.410
1000,1000,95811,1.991
1000,3500,28472,2.636
1000,10000,10070,5.151
